train_step,forward_agent/optimal_pd,method,source
23581,64.86063752714396,RISC,risc
23602,59.51640044112945,RISC,risc
23640,70.18146678684118,RISC,risc
23676,71.23627239741967,RISC,risc
23722,77.37735097758332,RISC,risc
23743,78.00476930951832,RISC,risc
23766,75.46591146263864,RISC,risc
23787,65.58248404153181,RISC,risc
23808,82.83997607535115,RISC,risc
23829,52.44599134486766,RISC,risc
23850,37.22374231803019,RISC,risc
23892,36.901382555502074,RISC,risc
23927,71.79860108868286,RISC,risc
24053,89.27030317536183,RISC,risc
24117,90.17151107520283,RISC,risc
24138,90.15470930543673,RISC,risc
24180,90.29586805444522,RISC,risc
24213,89.95278355156218,RISC,risc
24234,89.79816033845958,RISC,risc
24295,91.54688089870572,RISC,risc
24336,89.33794035740577,RISC,risc
24357,88.78259460305141,RISC,risc
24381,88.91629149431583,RISC,risc
24402,86.657201383368,RISC,risc
24423,84.0487379550097,RISC,risc
24487,87.00305477855763,RISC,risc
24508,86.00122139051433,RISC,risc
24555,81.74897495585886,RISC,risc
24598,62.41135318779332,RISC,risc
24627,76.17409387458069,RISC,risc
24662,79.84828700279897,RISC,risc
24689,84.89251595043169,RISC,risc
24775,71.90020958240004,RISC,risc
24833,74.8683953694473,RISC,risc
24876,72.42369360614681,RISC,risc
24897,76.89106650504924,RISC,risc
24928,79.00335497029496,RISC,risc
24954,78.36564316648919,RISC,risc
24975,53.16734077431593,RISC,risc
25012,76.00239780814826,RISC,risc
25063,79.22744357943805,RISC,risc
25084,66.8155583959669,RISC,risc
25105,75.93681024466393,RISC,risc
25168,54.91859897466481,RISC,risc
25189,26.226298716737396,RISC,risc
25220,56.84536601019437,RISC,risc
25271,88.87317870220812,RISC,risc
25295,68.82649668507143,RISC,risc
25344,71.02549836140766,RISC,risc
25365,70.57482481765663,RISC,risc
25386,69.43629894711302,RISC,risc
25525,7.059667804658544,RISC,risc
25695,1.018712419174276,RISC,risc
25846,0.9005122679471098,RISC,risc
25972,0.8326513308054088,RISC,risc
26057,9.849138031406042,RISC,risc
26111,59.93994251146736,RISC,risc
26147,62.980118708733855,RISC,risc
26232,64.82780936360317,RISC,risc
26280,89.68612861230906,RISC,risc
26339,97.10659574180119,RISC,risc
26402,70.18945696786966,RISC,risc
26423,72.09987777675701,RISC,risc
26496,50.18880011898881,RISC,risc
26524,42.79318744170139,RISC,risc
26545,25.17765540616089,RISC,risc
26585,53.432531292007646,RISC,risc
26606,70.97854144093382,RISC,risc
26627,49.001880725075225,RISC,risc
26676,38.22248920575862,RISC,risc
26736,31.397710472554145,RISC,risc
26801,44.10498020730378,RISC,risc
26839,42.90990907952039,RISC,risc
26892,34.626293090088,RISC,risc
26913,103.89720014197165,RISC,risc
26987,104.57776497104459,RISC,risc
27008,106.81405299732614,RISC,risc
27029,107.40210887362669,RISC,risc
27050,109.91672435430779,RISC,risc
27084,95.22920302521116,RISC,risc
27105,85.03486587317813,RISC,risc
27156,94.38815191604802,RISC,risc
27177,98.28663652417539,RISC,risc
27220,106.62694368565222,RISC,risc
27315,102.41957656742018,RISC,risc
27347,108.01222014843108,RISC,risc
27368,108.15154994692423,RISC,risc
27411,109.01734099816605,RISC,risc
27441,108.09372062767785,RISC,risc
27477,109.38333418635241,RISC,risc
27532,112.19739452511047,RISC,risc
27553,96.79128257088807,RISC,risc
27585,99.5974396937426,RISC,risc
27625,110.63429673582515,RISC,risc
27674,95.07599604066212,RISC,risc
27695,89.98502519473305,RISC,risc
27744,109.29870396047414,RISC,risc
27765,101.6335999982295,RISC,risc
27802,85.44637932927111,RISC,risc
27868,88.84469543616369,RISC,risc
27952,98.6435006570882,RISC,risc
27973,99.05154722012784,RISC,risc
27994,106.17048863422349,RISC,risc
