returns,train_step,method,seed,environment,source
1.0,3120000.0,Episodic,1,Sawyer Door,baseline
1.0,3130000.0,Episodic,1,Sawyer Door,baseline
1.0,3140000.0,Episodic,1,Sawyer Door,baseline
1.0,3150000.0,Episodic,1,Sawyer Door,baseline
1.0,3160000.0,Episodic,1,Sawyer Door,baseline
1.0,3170000.0,Episodic,1,Sawyer Door,baseline
1.0,3180000.0,Episodic,1,Sawyer Door,baseline
1.0,3190000.0,Episodic,1,Sawyer Door,baseline
1.0,3200000.0,Episodic,1,Sawyer Door,baseline
1.0,3210000.0,Episodic,1,Sawyer Door,baseline
1.0,3220000.0,Episodic,1,Sawyer Door,baseline
1.0,3230000.0,Episodic,1,Sawyer Door,baseline
1.0,3240000.0,Episodic,1,Sawyer Door,baseline
1.0,3250000.0,Episodic,1,Sawyer Door,baseline
1.0,3260000.0,Episodic,1,Sawyer Door,baseline
1.0,3270000.0,Episodic,1,Sawyer Door,baseline
1.0,3280000.0,Episodic,1,Sawyer Door,baseline
1.0,3290000.0,Episodic,1,Sawyer Door,baseline
1.0,3300000.0,Episodic,1,Sawyer Door,baseline
1.0,3310000.0,Episodic,1,Sawyer Door,baseline
1.0,3320000.0,Episodic,1,Sawyer Door,baseline
1.0,3330000.0,Episodic,1,Sawyer Door,baseline
1.0,3340000.0,Episodic,1,Sawyer Door,baseline
1.0,3350000.0,Episodic,1,Sawyer Door,baseline
1.0,3360000.0,Episodic,1,Sawyer Door,baseline
1.0,3370000.0,Episodic,1,Sawyer Door,baseline
1.0,3380000.0,Episodic,1,Sawyer Door,baseline
1.0,3390000.0,Episodic,1,Sawyer Door,baseline
1.0,3400000.0,Episodic,1,Sawyer Door,baseline
0.9,3410000.0,Episodic,1,Sawyer Door,baseline
1.0,3420000.0,Episodic,1,Sawyer Door,baseline
1.0,3430000.0,Episodic,1,Sawyer Door,baseline
1.0,3440000.0,Episodic,1,Sawyer Door,baseline
1.0,3450000.0,Episodic,1,Sawyer Door,baseline
1.0,3460000.0,Episodic,1,Sawyer Door,baseline
